GPA	user
3.38	Yes
3.32	Yes
4	Yes
2.5	Yes
3.39	Yes
4	Yes
2.49	Yes
3.4	Yes
3.08	Yes
3.75	Yes
1.94	Yes
2.74	Yes
3.61	Yes
3.13	Yes
2.45	Yes
3.54	Yes
4	Yes
2.58	Yes
2.8	Yes
3.03	Yes
1.65	Yes
3.65	Yes
3.09	Yes
3.89	Yes
2.78	Yes
4	Yes
3.68	Yes
4	Yes
2.9	Yes
3.76	Yes
3.43	Yes
4	Yes
2.32	Yes
1.95	Yes
3.04	Yes
3.49	Yes
2.73	Yes
3.12	Yes
3.82	Yes
3.48	Yes
3.67	Yes
3.19	Yes
3.16	Yes
4	Yes
2.59	Yes
1.72	Yes
3.1	Yes
3.24	Yes
4	Yes
2.76	Yes
3.27	Yes
3.05	Yes
2.56	Yes
3.47	Yes
2.78	Yes
3.24	Yes
2.21	Yes
3.18	Yes
3.43	Yes
2.62	Yes
3.36	Yes
3.52	Yes
3.68	Yes
1.35	Yes
3.78	Yes
2.16	Yes
3.33	Yes
2.77	Yes
2.54	Yes
3.54	Yes
2.85	Yes
3.05	Yes
1.59	Yes
2.9	Yes
3.26	Yes
2.6	Yes
3.11	Yes
3.51	Yes
2.33	Yes
3.66	Yes
3.21	Yes
3.51	Yes
2.61	Yes
4	Yes
3.35	Yes
3.05	Yes
3.63	Yes
3.05	Yes
2.88	Yes
2.5	Yes
2.34	Yes
3	Yes
2.34	Yes
4	Yes
2.61	Yes
3.33	Yes
3.26	Yes
3.21	Yes
3.74	Yes
2.2	Yes
3.04	Yes
3.19	Yes
2.66	Yes
3.06	Yes
2.35	Yes
2.05	Yes
3.01	Yes
2.35	Yes
3.33	Yes
2.31	Yes
2.96	Yes
2.68	Yes
2.96	Yes
3.58	Yes
3.43	Yes
3.87	Yes
2.5	Yes
3.71	Yes
3.5	Yes
2.79	Yes
4	Yes
3.45	Yes
2.78	Yes
3.41	Yes
3.98	Yes
3.04	Yes
3.72	Yes
3.9	Yes
2.4	Yes
2.55	Yes
3.65	Yes
2.87	Yes
2.56	Yes
2.55	Yes
2.19	Yes
2.45	Yes
3.44	Yes
2.79	Yes
3.78	Yes
3.34	Yes
3.03	Yes
2.94	No
4	No
3.89	No
3.74	No
2.28	No
3.84	No
3.6	No
3.34	No
3.42	No
3.47	No
3.95	No
4	No
3.5	No
3.19	No
2.75	No
3.59	No
3.75	No
3.57	No
4	No
3.81	No
3.74	No
4	No
4	No
3.95	No
4	No
3.98	No
4	No
4	No
3.78	No
3.41	No
3.04	No
3.85	No
3.62	No
2.59	No
3.91	No
3.98	No
3.67	No
4	No
3.42	No
4	No
3.94	No
3.77	No
3.41	No
2.98	No
1.37	No
4	No
4	No
3.27	No
3.75	No
3.8	No
2.73	No
3.78	No
3.74	No
3.16	No
3.62	No
2.92	No
3.66	No
3.6	No
3.95	No
4	No
3.92	No
4	No
3.87	No
3.92	No
4	No
3.79	No
4	No
3.9	No
