pctremember	type
no	morning
no	morning
no	evening
no	morning
no	evening
no	evening
yes	evening
yes	morning
no	evening
no	evening
yes	evening
yes	evening
yes	evening
no	evening
no	evening
no	evening
no	morning
yes	evening
yes	evening
no	morning
yes	evening
no	evening
no	evening
yes	evening
no	evening
no	evening
no	evening
yes	morning
no	evening
yes	morning
yes	evening
no	evening
no	evening
yes	evening
no	morning
yes	morning
no	evening
no	evening
no	evening
no	morning
yes	evening
yes	morning
yes	evening
no	morning
no	morning
no	morning
yes	evening
yes	evening
no	evening
no	morning
yes	evening
no	evening
no	evening
yes	evening
yes	evening
no	evening
yes	morning
no	evening
no	evening
no	evening
no	evening
no	evening
yes	evening
no	morning
no	evening
no	evening
no	evening
no	evening
no	evening
no	evening
yes	morning
yes	evening
no	morning
yes	morning
no	morning
no	evening
no	evening
yes	evening
yes	evening
yes	evening
yes	evening
yes	evening
no	morning
no	evening
yes	evening
no	evening
no	evening
no	morning
yes	evening
no	evening
no	evening
yes	evening
no	evening
no	evening
no	morning
yes	evening
yes	morning
yes	evening
no	morning
no	evening
no	evening
no	evening
no	evening
no	morning
yes	evening
no	evening
no	evening
no	evening
no	evening
yes	morning
yes	evening
no	evening
no	morning
no	evening
no	evening
no	morning
yes	evening
no	morning
yes	evening
yes	morning
no	morning
yes	evening
yes	evening
no	evening
no	morning
no	evening
yes	evening
yes	evening
no	evening
no	evening
no	evening
yes	evening
yes	evening
no	morning
no	evening
yes	morning
no	evening
no	morning
yes	morning
yes	evening
yes	morning
yes	morning
no	morning
no	morning
no	morning
yes	morning
no	evening
no	evening
yes	evening
no	morning
yes	morning
yes	evening
yes	morning
no	evening
no	morning
no	evening
yes	morning
yes	evening
no	evening
no	evening
no	evening
no	morning
no	morning
no	evening
yes	morning
no	morning
no	morning
yes	evening
no	morning
no	evening
no	evening
yes	evening
no	evening
