number	lure	location
28	scent	top
19	scent	top
32	scent	top
15	scent	top
13	scent	top
39	scent	middle
12	scent	middle
42	scent	middle
25	scent	middle
21	scent	middle
44	scent	lower
21	scent	lower
38	scent	lower
32	scent	lower
29	scent	lower
17	scent	ground
12	scent	ground
23	scent	ground
19	scent	ground
14	scent	ground
35	sugar	top
22	sugar	top
33	sugar	top
21	sugar	top
17	sugar	top
36	sugar	middle
38	sugar	middle
44	sugar	middle
27	sugar	middle
22	sugar	middle
42	sugar	lower
17	sugar	lower
31	sugar	lower
29	sugar	lower
37	sugar	lower
18	sugar	ground
27	sugar	ground
15	sugar	ground
29	sugar	ground
16	sugar	ground
32	chemical	top
29	chemical	top
16	chemical	top
18	chemical	top
20	chemical	top
37	chemical	middle
40	chemical	middle
18	chemical	middle
28	chemical	middle
36	chemical	middle
35	chemical	lower
39	chemical	lower
41	chemical	lower
31	chemical	lower
34	chemical	lower
22	chemical	ground
25	chemical	ground
14	chemical	ground
16	chemical	ground
19	chemical	ground
