age	time
20.75	307.67
20	332
20.2	332
20.75	414
22.3	269
19.5	600
21.4	356.666
19.91	298.66
21.08	260
31	349.67
20.92	302.66
20.92	416
19.33	493
21.7	333
20.9	457
20.9	330.33
21	348
20.33	377.33
19.75	337
28.75	324.3
19.25	466.6667
20.6	449
20.75	418
19.5	320.33
21	150
20.8	293
21.9	294
19.5	270
21.4658	395.5
22.9	340.33
20.5	319.333
21	335
23.5	278
19.9	343
20.5	352.3
21.5	347
21	395.67
26.5	336.67
27	266
20.4	386.3
19.33	337
20.17	331.33
29.3	434
22.8	283.7
20.5	576.333
20.5	379
22.5	276
20.4	280
20.5	419.67
19.2	219
20.2	350.6
20.5	271
20	347
22.25	278
21	335
20.08	315.67
19.75	305
20	379.67
19.16	344
20.75	314.33
22.6	351.667
22.6	395.6
20.5	304
20	305
21	366
19.92	395
23.9	368
21.5	292.6667
20.9	299
20.75	345.33
19.9	303.67
20.3	400.67
19.75	382
19.08	300.33
23.83	279
20.9	352
20.8	379.7
19.5	370.3
20.1	371.66
20.6	339
18.375	264
22.8	371
20.83	478
21	200
19.5	374
20.95	340.6
20.3	376
20.8	308.66
21	31
21.2	291.66
20.08	376
20.3	416.3
19.5	361.33
21	356.667
18.92	325
20.5	358
19	360
19.98	341
21.9	318
20.16	312
19.75	276.333
25.5	390.333
20.42	365.33
20	364.67
20.5	333.33
20.5	426
19.33	378.67
20.4	384.67
19.67	281
21.3	339.33
20.1	350.333
20.8	260
19.5	668.67
21.33	348
20	464.67
22	388.666
20	306
20	365.3334
19.9	338.67
19.92	307.67
20	314
20.58	349
19.5	299.667
24.2	314
21.03	300.33
34	429
20.13	335.3333
29.083	348.333
20.06	333
20.25	356.67
26	360
22.3	276
19.75	376.67
20.8	294.67
18.83	280.3
20.75	346
20	392.67
20.5	314
22.33	331.6667
20.5	374.33
19.25	300
20.8333	454.3333
20	254
20	404
20.25	316.667
20.1	533.33
20	380
25.8	339
20.333	375.67
19.4167	15.3333
19.42	516.33
22.17	421
20	300.333
22.5	200
31.5	428.67
21.16	369.33
19.75	414
21.58	279.33
19.87	271
20.2	387
19.83	383
20.25	331.33
18.9	337
22	51.7
19.75	328.67
20.75	311.67
20.3	243.9
19.58	399.3
19.75	322
