"bird_id","stage","cort_conc_elev"
587,"exnan",3.1
716,"exnan",16.4
718,"exnan",5.4
733,"exnan",9.5
785,"nan",67.2
849,"exnan",27.1
856,"nan",6.4
863,"exnan",28.7
880,"nan",22.9
895,"exnan",57.4
912,"exnan",19.1
923,"exnan",17.5
924,"exnan",12.3
926,"nan",41.2
930,"exnan",20.7
931,"exnan",31.8
935,"nan",17.4
939,"nan",31.2
944,"nan",18.7
945,"nan",40.8
948,"nan",17.8
949,"nan",25.7
956,"nan",26.4
960,"exnan",34.5
962,"nan",36.3
963,"exnan",19.4
965,"exnan",20.2
966,"nan",28.4
969,"nan",38.5
976,"exnan",4.9
1017,"nan",63.6
1019,"nan",13.6
1020,"nan",60.4
1021,"nan",43.3
1113,"nan",9.9
