"top_speed","species"
1.52,"occidentalis"
1.74,"occidentalis"
1.79,"occidentalis"
2.01,"occidentalis"
3.13,"occidentalis"
2.89,"occidentalis"
2.56,"occidentalis"
2.65,"occidentalis"
3.38,"occidentalis"
2.36,"occidentalis"
2.21,"occidentalis"
1.65,"occidentalis"
2.05,"occidentalis"
2.84,"occidentalis"
3.36,"occidentalis"
2.02,"occidentalis"
1.63,"occidentalis"
2.51,"occidentalis"
2.18,"occidentalis"
2.09,"occidentalis"
1.82,"occidentalis"
2.53,"occidentalis"
1.74,"graciosus"
1.41,"graciosus"
1.3,"graciosus"
1.42,"graciosus"
2.23,"graciosus"
1.67,"graciosus"
1.15,"graciosus"
1.38,"graciosus"
1.75,"graciosus"
1.47,"graciosus"
1.59,"graciosus"
1.99,"graciosus"
2.21,"graciosus"
1.41,"graciosus"
1.7,"graciosus"
1.89,"graciosus"
1.8,"graciosus"
2.02,"graciosus"
1.87,"graciosus"
1.75,"graciosus"
1.15,"graciosus"
1.63,"graciosus"
1.84,"graciosus"
1.2,"graciosus"
1.28,"graciosus"
1.08,"graciosus"
